frame,total,car,person
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,1,0,1
51,1,0,0
52,1,0,0
53,1,0,0
54,2,0,1
55,2,0,0
56,2,0,0
57,2,0,0
58,3,0,1
59,3,0,0
60,3,0,0
61,3,0,0
62,3,0,0
63,3,0,0
64,3,0,0
65,3,0,0
66,3,0,0
67,3,0,0
68,4,0,1
69,4,0,0
70,5,0,1
71,5,0,0
72,5,0,0
73,5,0,0
74,5,0,0
75,5,0,0
76,5,0,0
77,5,0,0
78,5,0,0
79,5,0,0
80,5,0,0
81,5,0,0
82,5,0,0
83,5,0,0
84,5,0,0
85,5,0,0
86,5,0,0
87,5,0,0
88,5,0,0
89,5,0,0
90,5,0,0
91,5,0,0
92,5,0,0
93,5,0,0
94,5,0,0
95,5,0,0
96,5,0,0
97,5,0,0
98,5,0,0
99,5,0,0
100,5,0,0
101,5,0,0
102,5,0,0
103,5,0,0
104,5,0,0
105,5,0,0
106,5,0,0
107,5,0,0
108,5,0,0
109,5,0,0
110,5,0,0
111,6,0,1
112,6,0,0
113,6,0,0
114,7,0,1
115,7,0,0
116,7,0,0
117,7,0,0
118,9,0,2
119,9,0,0
120,9,0,0
121,9,0,0
122,9,0,0
123,9,0,0
124,9,0,0
125,9,0,0
126,9,0,0
127,9,0,0
128,9,0,0
129,9,0,0
130,9,0,0
131,9,0,0
132,10,0,1
133,10,0,0
