frame,total,backpack,car,person
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,1,0,0,0
33,2,0,0,1
34,3,0,0,0
35,3,0,0,0
36,3,0,0,0
37,3,0,0,0
38,3,0,0,0
39,3,0,0,0
40,3,0,0,0
41,3,0,0,0
42,3,0,0,0
43,3,0,0,0
44,3,0,0,0
45,3,0,0,0
46,3,0,0,0
47,3,0,0,0
48,3,0,0,0
49,3,0,0,0
50,6,0,0,3
51,7,0,0,1
52,8,0,0,1
53,8,0,0,0
54,10,0,0,2
55,11,0,0,1
56,13,0,0,2
57,13,0,0,0
58,13,0,0,0
59,13,0,0,0
60,14,0,0,1
61,14,0,0,0
62,14,0,0,0
63,15,0,0,1
64,15,0,0,0
65,16,0,0,1
66,16,0,0,0
67,17,0,0,1
68,18,0,0,1
69,18,0,0,0
70,18,0,0,0
71,19,0,0,1
72,19,0,0,0
73,19,0,0,0
74,19,0,0,0
75,19,0,0,0
76,19,0,0,0
77,19,0,0,0
78,19,0,0,0
79,19,0,0,0
80,19,0,0,0
81,19,0,0,0
82,19,0,0,0
83,19,0,0,0
84,19,0,0,0
85,19,0,0,0
86,19,0,0,0
87,19,0,0,0
88,19,0,0,0
89,19,0,0,0
90,19,0,0,0
91,19,0,0,0
92,19,0,0,0
93,19,0,0,0
94,19,0,0,0
95,19,0,0,0
96,19,0,0,0
97,19,0,0,0
98,19,0,0,0
99,19,0,0,0
100,19,0,0,0
101,19,0,0,0
102,19,0,0,0
103,19,0,0,0
104,19,0,0,0
105,19,0,0,0
